Vacancy name,Min Salary,Max Salary,Vacancy link,Source
Менеджер по работе с корпоративными клиентами (по продажам ИТ-оборудования),90000.0,,https://hh.ru/vacancy/46551742?from=catalog_vacancies,https://hh.ru
Менеджер по продажам,60000.0,160000.0,https://hh.ru/vacancy/46349988?from=catalog_vacancies,https://hh.ru
Менеджер по продажам (можно удаленно),70000.0,,https://hh.ru/vacancy/46573766?from=catalog_vacancies,https://hh.ru
Менеджер по работе с клиентами,35000.0,150000.0,https://hh.ru/vacancy/44446530?from=catalog_vacancies,https://hh.ru
Менеджер по оптовым продажам,,150000.0,https://hh.ru/vacancy/46621911?from=catalog_vacancies,https://hh.ru
Менеджер по продажам бытовой химии,70000.0,,https://hh.ru/vacancy/46586782?from=catalog_vacancies,https://hh.ru
Менеджер по продаже стройматериалов,60147.0,117514.0,https://hh.ru/vacancy/45612463?from=catalog_vacancies,https://hh.ru
Менеджер по продажам,50000.0,60000.0,https://hh.ru/vacancy/44548765?from=catalog_vacancies,https://hh.ru
Менеджер по продажам,,,https://hh.ru/vacancy/46300177?from=catalog_vacancies,https://hh.ru
Менеджер по продажам,80000.0,150000.0,https://hh.ru/vacancy/44833041?from=catalog_vacancies,https://hh.ru
Менеджер по продажам,75000.0,,https://hh.ru/vacancy/46344914?from=catalog_vacancies,https://hh.ru
Менеджер по продажам,60000.0,120000.0,https://hh.ru/vacancy/46567821?from=catalog_vacancies,https://hh.ru
Менеджер по продажам,83500.0,211500.0,https://hh.ru/vacancy/46152856?from=catalog_vacancies,https://hh.ru
Менеджер по работе с клиентами/стажер,185000.0,275000.0,https://hh.ru/vacancy/46411685?from=catalog_vacancies,https://hh.ru
Менеджер по продажам,100000.0,,https://hh.ru/vacancy/45245760?from=catalog_vacancies,https://hh.ru
Менеджер по продажам металлопроката в Московском филиале,,,https://hh.ru/vacancy/46206883?from=catalog_vacancies,https://hh.ru
Менеджер по продажам,80000.0,200000.0,https://hh.ru/vacancy/46597046?from=catalog_vacancies,https://hh.ru
Менеджер по продажам,60000.0,180000.0,https://hh.ru/vacancy/46624213?from=catalog_vacancies,https://hh.ru
Специалист по продажам (входящий поток клиентов B2B),150000.0,200000.0,https://hh.ru/vacancy/46248424?from=catalog_vacancies,https://hh.ru
Менеджер отдела продаж,78000.0,210000.0,https://hh.ru/vacancy/46439412?from=catalog_vacancies,https://hh.ru
Менеджер по продажам(СРОЧНАЯ ВАКАНСИЯ!),150000.0,,https://hh.ru/vacancy/44189835?from=catalog_vacancies,https://hh.ru
Менеджер отдела продаж по работе с постоянными клиентами,70000.0,155000.0,https://hh.ru/vacancy/46633640?from=catalog_vacancies,https://hh.ru
Менеджер по продажам,65000.0,,https://hh.ru/vacancy/46591236?from=catalog_vacancies,https://hh.ru
Менеджер по продажам,150000.0,,https://hh.ru/vacancy/36972403?from=catalog_vacancies,https://hh.ru
Старший менеджер по продажам,80000.0,,https://hh.ru/vacancy/45932998?from=catalog_vacancies,https://hh.ru
Ведущий менеджер по продажам в интернет-магазин мебели,80000.0,190000.0,https://hh.ru/vacancy/45164489?from=catalog_vacancies,https://hh.ru
Менеджер отдела продаж,100000.0,200000.0,https://hh.ru/vacancy/46554073?from=catalog_vacancies,https://hh.ru
Менеджер по продажам в онлайн-школу,40000.0,170000.0,https://hh.ru/vacancy/43261523?from=catalog_vacancies,https://hh.ru
"Менеджер по продажам (удаленно, работа из дома)",50000.0,70000.0,https://hh.ru/vacancy/45259195?from=catalog_vacancies,https://hh.ru
Менеджер по работе с клиентами,55000.0,55000.0,https://hh.ru/vacancy/46624901?from=catalog_vacancies,https://hh.ru
Менеджер по продажам / Менеджер по работе с клиентами,95000.0,,https://hh.ru/vacancy/46558035?from=catalog_vacancies,https://hh.ru
Менеджер по работе с клиентами,60000.0,110000.0,https://hh.ru/vacancy/46595513?from=catalog_vacancies,https://hh.ru
Менеджер по продажам и работе с клиентами,60000.0,190000.0,https://hh.ru/vacancy/45202077?from=catalog_vacancies,https://hh.ru
Менеджер отдела продаж,65000.0,190000.0,https://hh.ru/vacancy/46605736?from=catalog_vacancies,https://hh.ru
Менеджер по продажам,50000.0,200000.0,https://hh.ru/vacancy/45643820?from=catalog_vacancies,https://hh.ru
Менеджер по продажам металлопроката,80000.0,300000.0,https://hh.ru/vacancy/41036002?from=catalog_vacancies,https://hh.ru
Менеджер по продажам металлопроката,75000.0,250000.0,https://hh.ru/vacancy/43109767?from=catalog_vacancies,https://hh.ru
Помощник менеджера по продажам,70000.0,,https://hh.ru/vacancy/46608250?from=catalog_vacancies,https://hh.ru
Менеджер по продажам строительных материалов,70000.0,150000.0,https://hh.ru/vacancy/46595921?from=catalog_vacancies,https://hh.ru
Менеджер по продажам,80000.0,300000.0,https://hh.ru/vacancy/45574008?from=catalog_vacancies,https://hh.ru
Менеджер по продажам лазерного оборудования,35000.0,250000.0,https://hh.ru/vacancy/40950682?from=catalog_vacancies,https://hh.ru
Менеджер по продажам (автомобильная сфера),80000.0,120000.0,https://hh.ru/vacancy/46517102?from=catalog_vacancies,https://hh.ru
Менеджер по продажам услуг,80000.0,150000.0,https://hh.ru/vacancy/46628542?from=catalog_vacancies,https://hh.ru
Менеджер по продажам в интернет-магазине,110000.0,,https://hh.ru/vacancy/43806793?from=catalog_vacancies,https://hh.ru
Менеджер по работе с клиентами,60000.0,100000.0,https://hh.ru/vacancy/46517353?from=catalog_vacancies,https://hh.ru
Менеджер по продажам,55000.0,85000.0,https://hh.ru/vacancy/36776366?from=catalog_vacancies,https://hh.ru
Менеджер по работе с клиентами,72500.0,127500.0,https://hh.ru/vacancy/46510724?from=catalog_vacancies,https://hh.ru
Менеджер по продажам в online школу,,115000.0,https://hh.ru/vacancy/46037499?from=catalog_vacancies,https://hh.ru
Менеджер по продажам AV оборудования В2В,70000.0,,https://hh.ru/vacancy/46561644?from=catalog_vacancies,https://hh.ru
Менеджер по продажам (аренда спецтехники),80000.0,350000.0,https://hh.ru/vacancy/45416323?from=catalog_vacancies,https://hh.ru
Менеджер по работе с корпоративными клиентами (по продажам ИТ-оборудования),90000.0,,https://hh.ru/vacancy/46551742?from=catalog_vacancies,https://hh.ru
Менеджер по продажам,60000.0,160000.0,https://hh.ru/vacancy/46349988?from=catalog_vacancies,https://hh.ru
Менеджер по продажам (можно удаленно),70000.0,,https://hh.ru/vacancy/46573766?from=catalog_vacancies,https://hh.ru
Менеджер по работе с клиентами,35000.0,150000.0,https://hh.ru/vacancy/44446530?from=catalog_vacancies,https://hh.ru
Менеджер по оптовым продажам,,150000.0,https://hh.ru/vacancy/46621911?from=catalog_vacancies,https://hh.ru
Менеджер по продажам бытовой химии,70000.0,,https://hh.ru/vacancy/46586782?from=catalog_vacancies,https://hh.ru
Менеджер по продаже стройматериалов,60147.0,117514.0,https://hh.ru/vacancy/45612463?from=catalog_vacancies,https://hh.ru
Менеджер по продажам,50000.0,60000.0,https://hh.ru/vacancy/44548765?from=catalog_vacancies,https://hh.ru
Менеджер по продажам,,,https://hh.ru/vacancy/46300177?from=catalog_vacancies,https://hh.ru
Менеджер по продажам,80000.0,150000.0,https://hh.ru/vacancy/44833041?from=catalog_vacancies,https://hh.ru
Менеджер по продажам,75000.0,,https://hh.ru/vacancy/46344914?from=catalog_vacancies,https://hh.ru
Менеджер по продажам,60000.0,120000.0,https://hh.ru/vacancy/46567821?from=catalog_vacancies,https://hh.ru
Менеджер по продажам(СРОЧНАЯ ВАКАНСИЯ!),150000.0,,https://hh.ru/vacancy/44189835?from=catalog_vacancies,https://hh.ru
Менеджер по продажам,83500.0,211500.0,https://hh.ru/vacancy/46152856?from=catalog_vacancies,https://hh.ru
Менеджер по работе с клиентами/стажер,185000.0,275000.0,https://hh.ru/vacancy/46411685?from=catalog_vacancies,https://hh.ru
Менеджер по продажам металлопроката,75000.0,250000.0,https://hh.ru/vacancy/43109767?from=catalog_vacancies,https://hh.ru
Менеджер по продажам,100000.0,,https://hh.ru/vacancy/45245760?from=catalog_vacancies,https://hh.ru
Ведущий менеджер по продажам в интернет-магазин мебели,80000.0,190000.0,https://hh.ru/vacancy/45164489?from=catalog_vacancies,https://hh.ru
Менеджер по продажам и работе с клиентами,60000.0,190000.0,https://hh.ru/vacancy/45202077?from=catalog_vacancies,https://hh.ru
Менеджер по продажам металлопроката в Московском филиале,,,https://hh.ru/vacancy/46206883?from=catalog_vacancies,https://hh.ru
Менеджер по продажам,80000.0,200000.0,https://hh.ru/vacancy/46597046?from=catalog_vacancies,https://hh.ru
Менеджер по продажам / Менеджер по работе с клиентами,95000.0,,https://hh.ru/vacancy/46558035?from=catalog_vacancies,https://hh.ru
Менеджер по продажам,60000.0,180000.0,https://hh.ru/vacancy/46624213?from=catalog_vacancies,https://hh.ru
Менеджер отдела продаж по работе с постоянными клиентами,70000.0,155000.0,https://hh.ru/vacancy/46633640?from=catalog_vacancies,https://hh.ru
Менеджер по продажам,80000.0,120000.0,https://hh.ru/vacancy/46391459?from=catalog_vacancies,https://hh.ru
Специалист по продажам (входящий поток клиентов B2B),150000.0,200000.0,https://hh.ru/vacancy/46248424?from=catalog_vacancies,https://hh.ru
Менеджер по продажам,150000.0,,https://hh.ru/vacancy/36972403?from=catalog_vacancies,https://hh.ru
Менеджер отдела продаж,78000.0,210000.0,https://hh.ru/vacancy/46439412?from=catalog_vacancies,https://hh.ru
Менеджер по продажам,65000.0,,https://hh.ru/vacancy/46591236?from=catalog_vacancies,https://hh.ru
Менеджер по продажам строительных материалов,70000.0,150000.0,https://hh.ru/vacancy/46595921?from=catalog_vacancies,https://hh.ru
Старший менеджер по продажам,80000.0,,https://hh.ru/vacancy/45932998?from=catalog_vacancies,https://hh.ru
Менеджер по продажам металлопроката,80000.0,300000.0,https://hh.ru/vacancy/41036002?from=catalog_vacancies,https://hh.ru
